freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.315e+02,6.446e+01,6.564e+01,8.616e+02
1.5,1.609e+03,4.897e+02,1.055e+02,2.204e+03
3.1,1.308e+03,4.645e+02,7.991e+01,1.853e+03
4.6,1.587e+03,4.081e+02,8.250e+01,2.078e+03
6.2,2.313e+03,4.875e+02,8.478e+01,2.886e+03
7.7,2.803e+03,3.491e+02,7.611e+01,3.229e+03
9.3,3.621e+03,3.290e+02,7.725e+01,4.027e+03
10.8,4.637e+03,3.674e+02,8.471e+01,5.089e+03
12.3,6.073e+03,3.933e+02,9.281e+01,6.559e+03
13.9,7.273e+03,4.177e+02,1.016e+02,7.792e+03
15.4,7.192e+03,3.942e+02,1.049e+02,7.691e+03
17.0,8.512e+03,3.241e+02,1.027e+02,8.939e+03
18.5,1.020e+04,3.604e+02,1.073e+02,1.067e+04
20.0,1.209e+04,4.107e+02,1.198e+02,1.262e+04
21.6,1.443e+04,3.968e+02,1.306e+02,1.495e+04
23.1,1.651e+04,4.109e+02,1.404e+02,1.706e+04
24.7,1.819e+04,4.043e+02,1.373e+02,1.873e+04
26.2,2.026e+04,3.905e+02,1.163e+02,2.077e+04
27.8,2.336e+04,4.051e+02,9.897e+01,2.387e+04
29.3,2.595e+04,3.743e+02,9.455e+01,2.642e+04
30.8,3.024e+04,3.795e+02,9.102e+01,3.071e+04
32.4,3.452e+04,4.144e+02,9.680e+01,3.503e+04
33.9,3.658e+04,3.824e+02,1.199e+02,3.708e+04
35.5,4.050e+04,3.607e+02,1.302e+02,4.099e+04
37.0,4.701e+04,3.739e+02,1.482e+02,4.753e+04
38.5,5.399e+04,3.979e+02,1.457e+02,5.453e+04
40.1,5.907e+04,3.950e+02,1.293e+02,5.959e+04
41.6,6.155e+04,4.015e+02,1.289e+02,6.208e+04
43.2,6.904e+04,3.885e+02,1.269e+02,6.956e+04
44.7,8.104e+04,3.430e+02,1.169e+02,8.150e+04
46.3,9.478e+04,3.245e+02,1.163e+02,9.522e+04
47.8,1.098e+05,4.034e+02,1.311e+02,1.103e+05
49.3,1.260e+05,4.551e+02,1.791e+02,1.267e+05
50.9,1.401e+05,5.026e+02,2.367e+02,1.409e+05
52.4,1.480e+05,4.767e+02,2.462e+02,1.487e+05
54.0,1.613e+05,3.754e+02,3.586e+02,1.620e+05
55.5,1.906e+05,4.626e+02,4.707e+02,1.916e+05
57.0,2.269e+05,6.875e+02,3.578e+02,2.279e+05
58.6,2.725e+05,8.074e+02,1.925e+02,2.735e+05
60.1,3.145e+05,9.218e+02,1.853e+02,3.156e+05
61.7,3.739e+05,2.328e+03,1.789e+02,3.764e+05
63.2,4.954e+05,1.314e+04,3.110e+02,5.089e+05
64.8,5.877e+05,2.830e+04,1.474e+03,6.175e+05
66.3,5.431e+05,3.515e+04,3.602e+03,5.819e+05
67.8,5.639e+05,3.894e+04,6.509e+03,6.093e+05
69.4,7.059e+05,4.447e+04,1.215e+04,7.625e+05
70.9,8.931e+05,4.521e+04,2.157e+04,9.599e+05
72.5,1.013e+06,4.043e+04,3.048e+04,1.084e+06
74.0,1.076e+06,4.663e+04,3.463e+04,1.157e+06
75.5,1.508e+06,5.495e+04,4.813e+04,1.611e+06
77.1,2.186e+06,5.607e+04,8.218e+04,2.324e+06
78.6,2.542e+06,5.161e+04,1.343e+05,2.728e+06
80.2,2.364e+06,4.870e+04,2.059e+05,2.618e+06
81.7,1.837e+06,4.517e+04,3.255e+05,2.208e+06
83.3,1.318e+06,3.223e+04,5.901e+05,1.941e+06
84.8,1.070e+06,1.421e+04,1.025e+06,2.109e+06
86.3,1.045e+06,4.747e+03,1.089e+06,2.139e+06
87.9,8.860e+05,5.450e+03,7.105e+05,1.602e+06
89.4,6.626e+05,7.588e+03,3.752e+05,1.045e+06
91.0,5.129e+05,9.767e+03,1.972e+05,7.198e+05
92.5,4.187e+05,1.159e+04,1.231e+05,5.535e+05
94.1,3.600e+05,1.182e+04,8.627e+04,4.581e+05
95.6,3.392e+05,1.033e+04,6.197e+04,4.115e+05
97.1,3.418e+05,8.035e+03,4.862e+04,3.984e+05
98.7,3.520e+05,6.481e+03,4.056e+04,3.990e+05
100.2,3.701e+05,6.067e+03,3.370e+04,4.099e+05
101.8,4.185e+05,6.230e+03,3.029e+04,4.550e+05
103.3,4.641e+05,5.470e+03,2.656e+04,4.962e+05
104.8,5.087e+05,4.609e+03,2.252e+04,5.359e+05
106.4,5.449e+05,5.030e+03,1.910e+04,5.691e+05
107.9,5.652e+05,6.039e+03,1.678e+04,5.880e+05
109.5,5.819e+05,6.325e+03,1.561e+04,6.039e+05
111.0,6.461e+05,6.652e+03,1.568e+04,6.684e+05
112.6,7.727e+05,6.194e+03,1.386e+04,7.928e+05
114.1,9.867e+05,6.539e+03,1.162e+04,1.005e+06
115.6,1.312e+06,6.062e+03,9.155e+03,1.328e+06
117.2,1.156e+06,3.239e+03,5.069e+03,1.164e+06
118.7,6.281e+05,2.037e+03,2.851e+03,6.330e+05
120.3,4.669e+05,2.187e+03,2.129e+03,4.712e+05
121.8,3.964e+05,2.856e+03,1.730e+03,4.010e+05
123.3,3.717e+05,1.804e+03,1.465e+03,3.749e+05
124.9,3.495e+05,1.519e+03,1.300e+03,3.523e+05
126.4,3.354e+05,1.927e+03,1.385e+03,3.387e+05
128.0,3.107e+05,2.422e+03,1.504e+03,3.146e+05
129.5,2.941e+05,3.402e+03,1.578e+03,2.991e+05
131.1,2.735e+05,3.792e+03,1.487e+03,2.788e+05
132.6,1.758e+05,3.369e+03,1.024e+03,1.801e+05
134.1,3.390e+04,2.947e+03,4.122e+02,3.726e+04
135.7,1.238e+04,2.969e+03,3.635e+02,1.571e+04
137.2,1.114e+04,2.880e+03,3.921e+02,1.441e+04
138.8,1.016e+04,2.917e+03,3.696e+02,1.344e+04
140.3,9.361e+03,3.474e+03,3.421e+02,1.318e+04
141.8,8.940e+03,4.150e+03,3.063e+02,1.340e+04
143.4,8.756e+03,3.571e+03,3.095e+02,1.264e+04
144.9,7.998e+03,1.919e+03,3.123e+02,1.023e+04
146.5,7.151e+03,8.347e+02,3.102e+02,8.296e+03
148.0,6.876e+03,6.444e+02,3.386e+02,7.859e+03
149.6,7.007e+03,8.462e+02,4.008e+02,8.254e+03
151.1,7.439e+03,1.330e+03,4.536e+02,9.223e+03
152.6,7.754e+03,1.324e+03,4.479e+02,9.526e+03
154.2,7.660e+03,7.651e+02,4.717e+02,8.897e+03
155.7,7.641e+03,6.848e+02,4.290e+02,8.755e+03
157.3,7.878e+03,1.082e+03,3.685e+02,9.328e+03
158.8,8.261e+03,1.327e+03,3.834e+02,9.971e+03
160.4,8.929e+03,1.357e+03,4.345e+02,1.072e+04
161.9,8.977e+03,1.287e+03,4.608e+02,1.073e+04
163.4,8.417e+03,1.362e+03,4.695e+02,1.025e+04
165.0,7.879e+03,1.373e+03,5.083e+02,9.760e+03
166.5,7.337e+03,1.111e+03,5.926e+02,9.040e+03
168.1,6.997e+03,9.272e+02,6.677e+02,8.592e+03
169.6,6.859e+03,6.523e+02,7.407e+02,8.252e+03
171.1,7.074e+03,6.979e+02,5.061e+02,8.278e+03
172.7,7.286e+03,9.649e+02,2.754e+02,8.526e+03
174.2,7.197e+03,1.215e+03,3.442e+02,8.757e+03
175.8,7.286e+03,1.469e+03,4.553e+02,9.211e+03
177.3,7.014e+03,1.649e+03,5.760e+02,9.239e+03
178.9,6.071e+03,1.688e+03,6.664e+02,8.426e+03
180.4,5.717e+03,1.603e+03,6.710e+02,7.991e+03
181.9,5.517e+03,1.700e+03,6.818e+02,7.898e+03
183.5,5.254e+03,1.732e+03,7.083e+02,7.694e+03
185.0,4.906e+03,1.750e+03,8.163e+02,7.472e+03
186.6,4.570e+03,1.808e+03,9.587e+02,7.337e+03
188.1,4.040e+03,1.944e+03,1.145e+03,7.129e+03
189.6,3.580e+03,2.139e+03,1.354e+03,7.073e+03
191.2,3.469e+03,2.155e+03,1.553e+03,7.177e+03
192.7,3.347e+03,1.970e+03,1.739e+03,7.056e+03
194.3,3.058e+03,1.747e+03,1.858e+03,6.662e+03
195.8,3.035e+03,1.621e+03,2.055e+03,6.711e+03
197.4,3.068e+03,1.648e+03,2.354e+03,7.071e+03
198.9,3.134e+03,1.712e+03,2.700e+03,7.546e+03
